# Copyright (C) 1991-2014 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus II License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus II 64-Bit Version 14.0.0 Build 200 06/17/2014 SJ Web Edition
# File: D:\Dropbox\FPGAs\Altera\DE2i\Terasic_CD_Support\DE2i-150_v.2.1.2_SystemCD\Demonstrations\FPGA\DE2i_150_Gsensor\DE2i_150_Gsensor.csv
# Generated on: Thu Oct 16 17:21:06 2014

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
CLOCK2_50,Input,PIN_A15,7,B7_N2,PIN_A15,3.3-V LVTTL,,,,
CLOCK3_50,Input,PIN_V11,3B,B3_N2,PIN_V11,2.5 V,,,,
CLOCK_50,Input,PIN_AJ16,4,B4_N2,PIN_AJ16,3.3-V LVTTL,,,,
DRAM_ADDR[12],Output,PIN_AE10,3,B3_N2,PIN_AE10,3.3-V LVTTL,,,,
DRAM_ADDR[11],Output,PIN_AE11,3,B3_N2,PIN_AE11,3.3-V LVTTL,,,,
DRAM_ADDR[10],Output,PIN_AH6,3,B3_N2,PIN_AH6,3.3-V LVTTL,,,,
DRAM_ADDR[9],Output,PIN_AE12,3,B3_N1,PIN_AE12,3.3-V LVTTL,,,,
DRAM_ADDR[8],Output,PIN_AE13,3,B3_N1,PIN_AE13,3.3-V LVTTL,,,,
DRAM_ADDR[7],Output,PIN_AE15,3,B3_N0,PIN_AE15,3.3-V LVTTL,,,,
DRAM_ADDR[6],Output,PIN_AE14,3,B3_N0,PIN_AE14,3.3-V LVTTL,,,,
DRAM_ADDR[5],Output,PIN_AF16,4,B4_N2,PIN_AF16,3.3-V LVTTL,,,,
